pattern_id,pattern_type,description,threshold
P100170,smurfing,Multiple small transactions within short time,3
P100171,velocity,High frequency transactions in short time,10
P100172,smurfing,Multiple small transactions within short time,4
P100173,circular,Money returns to original account,2
P100174,layering,Multiple sequential transfers across accounts,10
P100175,layering,Multiple sequential transfers across accounts,10
P100176,layering,Multiple sequential transfers across accounts,3
P100177,smurfing,Multiple small transactions within short time,6
P100178,circular,Money returns to original account,5
P100179,velocity,High frequency transactions in short time,7
P100180,velocity,High frequency transactions in short time,7
P100181,smurfing,Multiple small transactions within short time,3
P100182,circular,Money returns to original account,9
P100183,circular,Money returns to original account,6
P100184,velocity,High frequency transactions in short time,5
P100185,circular,Money returns to original account,7
P100186,circular,Money returns to original account,3
P100187,circular,Money returns to original account,10
P100188,smurfing,Multiple small transactions within short time,1
P100189,velocity,High frequency transactions in short time,10
P100190,layering,Multiple sequential transfers across accounts,9
P100191,smurfing,Multiple small transactions within short time,4
P100192,circular,Money returns to original account,6
P100193,smurfing,Multiple small transactions within short time,3
P100194,layering,Multiple sequential transfers across accounts,10
P100195,layering,Multiple sequential transfers across accounts,8
P100196,circular,Money returns to original account,9
P100197,smurfing,Multiple small transactions within short time,4
P100198,circular,Money returns to original account,8
P100199,circular,Money returns to original account,3
P100200,velocity,High frequency transactions in short time,8
P100201,velocity,High frequency transactions in short time,2
P100202,velocity,High frequency transactions in short time,7
P100203,velocity,High frequency transactions in short time,8
P100204,smurfing,Multiple small transactions within short time,3
P100205,layering,Multiple sequential transfers across accounts,8
P100206,velocity,High frequency transactions in short time,5
P100207,smurfing,Multiple small transactions within short time,4
P100208,velocity,High frequency transactions in short time,5
P100209,smurfing,Multiple small transactions within short time,4
P100210,velocity,High frequency transactions in short time,9
P100211,circular,Money returns to original account,2
P100212,velocity,High frequency transactions in short time,4
P100213,layering,Multiple sequential transfers across accounts,1
P100214,circular,Money returns to original account,7
P100215,velocity,High frequency transactions in short time,10
P100216,smurfing,Multiple small transactions within short time,8
P100217,velocity,High frequency transactions in short time,6
P100218,smurfing,Multiple small transactions within short time,9
P100219,smurfing,Multiple small transactions within short time,3
P100220,circular,Money returns to original account,3
P100221,layering,Multiple sequential transfers across accounts,5
P100222,circular,Money returns to original account,9
P100223,circular,Money returns to original account,3
P100224,layering,Multiple sequential transfers across accounts,9
P100225,velocity,High frequency transactions in short time,5
P100226,velocity,High frequency transactions in short time,5
P100227,circular,Money returns to original account,1
P100228,velocity,High frequency transactions in short time,1
P100229,smurfing,Multiple small transactions within short time,9
P100230,smurfing,Multiple small transactions within short time,3
P100231,smurfing,Multiple small transactions within short time,1
P100232,smurfing,Multiple small transactions within short time,3
P100233,circular,Money returns to original account,5
P100234,smurfing,Multiple small transactions within short time,3
P100235,layering,Multiple sequential transfers across accounts,9
P100236,circular,Money returns to original account,7
P100237,circular,Money returns to original account,3
P100238,circular,Money returns to original account,2
P100239,circular,Money returns to original account,7
P100240,circular,Money returns to original account,10
P100241,circular,Money returns to original account,6
P100242,smurfing,Multiple small transactions within short time,1
P100243,velocity,High frequency transactions in short time,2
P100244,smurfing,Multiple small transactions within short time,9
P100245,layering,Multiple sequential transfers across accounts,2
P100246,smurfing,Multiple small transactions within short time,4
P100247,layering,Multiple sequential transfers across accounts,8
P100248,velocity,High frequency transactions in short time,5
P100249,circular,Money returns to original account,8
P100250,layering,Multiple sequential transfers across accounts,1
P100251,velocity,High frequency transactions in short time,3
P100252,smurfing,Multiple small transactions within short time,10
P100253,layering,Multiple sequential transfers across accounts,2
P100254,circular,Money returns to original account,10
P100255,circular,Money returns to original account,10
P100256,smurfing,Multiple small transactions within short time,7
P100257,velocity,High frequency transactions in short time,4
P100258,velocity,High frequency transactions in short time,4
P100259,layering,Multiple sequential transfers across accounts,1
P100260,smurfing,Multiple small transactions within short time,10
P100261,velocity,High frequency transactions in short time,10
P100262,layering,Multiple sequential transfers across accounts,10
P100263,layering,Multiple sequential transfers across accounts,7
P100264,layering,Multiple sequential transfers across accounts,3
P100265,circular,Money returns to original account,4
P100266,smurfing,Multiple small transactions within short time,9
P100267,velocity,High frequency transactions in short time,6
P100268,layering,Multiple sequential transfers across accounts,3
P100269,smurfing,Multiple small transactions within short time,9
P100270,velocity,High frequency transactions in short time,10
P100271,layering,Multiple sequential transfers across accounts,2
P100272,smurfing,Multiple small transactions within short time,10
P100273,layering,Multiple sequential transfers across accounts,2
P100274,velocity,High frequency transactions in short time,4
P100275,velocity,High frequency transactions in short time,6
P100276,smurfing,Multiple small transactions within short time,5
P100277,smurfing,Multiple small transactions within short time,5
P100278,layering,Multiple sequential transfers across accounts,9
P100279,velocity,High frequency transactions in short time,9
P100280,circular,Money returns to original account,6
P100281,velocity,High frequency transactions in short time,2
P100282,smurfing,Multiple small transactions within short time,6
P100283,circular,Money returns to original account,9
P100284,layering,Multiple sequential transfers across accounts,2
P100285,smurfing,Multiple small transactions within short time,9
P100286,layering,Multiple sequential transfers across accounts,5
P100287,smurfing,Multiple small transactions within short time,3
P100288,velocity,High frequency transactions in short time,1
P100289,velocity,High frequency transactions in short time,5
P100290,velocity,High frequency transactions in short time,10
P100291,circular,Money returns to original account,4
P100292,layering,Multiple sequential transfers across accounts,4
P100293,layering,Multiple sequential transfers across accounts,10
P100294,velocity,High frequency transactions in short time,1
P100295,smurfing,Multiple small transactions within short time,1
P100296,smurfing,Multiple small transactions within short time,5
P100297,velocity,High frequency transactions in short time,3
P100298,layering,Multiple sequential transfers across accounts,5
P100299,circular,Money returns to original account,1
P100300,layering,Multiple sequential transfers across accounts,5
P100301,layering,Multiple sequential transfers across accounts,7
P100302,circular,Money returns to original account,1
P100303,layering,Multiple sequential transfers across accounts,2
P100304,velocity,High frequency transactions in short time,8
P100305,circular,Money returns to original account,8
P100306,smurfing,Multiple small transactions within short time,8
P100307,smurfing,Multiple small transactions within short time,3
P100308,velocity,High frequency transactions in short time,9
P100309,smurfing,Multiple small transactions within short time,4
P100310,smurfing,Multiple small transactions within short time,7
P100311,velocity,High frequency transactions in short time,10
P100312,velocity,High frequency transactions in short time,4
P100313,smurfing,Multiple small transactions within short time,1
P100314,smurfing,Multiple small transactions within short time,7
P100315,smurfing,Multiple small transactions within short time,6
P100316,layering,Multiple sequential transfers across accounts,1
P100317,circular,Money returns to original account,1
P100318,circular,Money returns to original account,5
P100319,layering,Multiple sequential transfers across accounts,1
P100320,circular,Money returns to original account,5
P100321,smurfing,Multiple small transactions within short time,5
P100322,velocity,High frequency transactions in short time,10
P100323,velocity,High frequency transactions in short time,5
P100324,layering,Multiple sequential transfers across accounts,9
P100325,layering,Multiple sequential transfers across accounts,8
P100326,layering,Multiple sequential transfers across accounts,1
P100327,velocity,High frequency transactions in short time,10
P100328,layering,Multiple sequential transfers across accounts,8
P100329,velocity,High frequency transactions in short time,2
P100330,layering,Multiple sequential transfers across accounts,4
P100331,smurfing,Multiple small transactions within short time,10
P100332,smurfing,Multiple small transactions within short time,6
P100333,smurfing,Multiple small transactions within short time,5
P100334,velocity,High frequency transactions in short time,3
P100335,circular,Money returns to original account,5
P100336,smurfing,Multiple small transactions within short time,8
P100337,layering,Multiple sequential transfers across accounts,5
P100338,circular,Money returns to original account,7
P100339,circular,Money returns to original account,7
P100340,layering,Multiple sequential transfers across accounts,5
P100341,velocity,High frequency transactions in short time,3
P100342,circular,Money returns to original account,9
P100343,velocity,High frequency transactions in short time,8
P100344,velocity,High frequency transactions in short time,8
P100345,circular,Money returns to original account,4
P100346,velocity,High frequency transactions in short time,3
P100347,smurfing,Multiple small transactions within short time,10
P100348,smurfing,Multiple small transactions within short time,8
P100349,smurfing,Multiple small transactions within short time,9
P100350,velocity,High frequency transactions in short time,8
P100351,circular,Money returns to original account,8
P100352,circular,Money returns to original account,1
P100353,velocity,High frequency transactions in short time,8
P100354,layering,Multiple sequential transfers across accounts,4
P100355,velocity,High frequency transactions in short time,1
P100356,layering,Multiple sequential transfers across accounts,1
P100357,layering,Multiple sequential transfers across accounts,5
P100358,circular,Money returns to original account,6
P100359,circular,Money returns to original account,4
P100360,layering,Multiple sequential transfers across accounts,4
P100361,layering,Multiple sequential transfers across accounts,3
P100362,velocity,High frequency transactions in short time,3
P100363,velocity,High frequency transactions in short time,9
P100364,layering,Multiple sequential transfers across accounts,7
P100365,smurfing,Multiple small transactions within short time,5
P100366,layering,Multiple sequential transfers across accounts,1
P100367,smurfing,Multiple small transactions within short time,10
P100368,velocity,High frequency transactions in short time,1
P100369,layering,Multiple sequential transfers across accounts,3
P100370,velocity,High frequency transactions in short time,10
P100371,smurfing,Multiple small transactions within short time,8
P100372,circular,Money returns to original account,5
P100373,smurfing,Multiple small transactions within short time,9
P100374,circular,Money returns to original account,8
P100375,smurfing,Multiple small transactions within short time,8
P100376,velocity,High frequency transactions in short time,4
P100377,layering,Multiple sequential transfers across accounts,8
P100378,smurfing,Multiple small transactions within short time,8
P100379,layering,Multiple sequential transfers across accounts,5
P100380,circular,Money returns to original account,8
P100381,smurfing,Multiple small transactions within short time,6
P100382,circular,Money returns to original account,1
P100383,circular,Money returns to original account,9
P100384,velocity,High frequency transactions in short time,10
P100385,layering,Multiple sequential transfers across accounts,4
P100386,circular,Money returns to original account,1
P100387,circular,Money returns to original account,6
P100388,layering,Multiple sequential transfers across accounts,7
P100389,circular,Money returns to original account,6
P100390,layering,Multiple sequential transfers across accounts,1
P100391,velocity,High frequency transactions in short time,1
P100392,layering,Multiple sequential transfers across accounts,1
P100393,smurfing,Multiple small transactions within short time,9
P100394,circular,Money returns to original account,4
P100395,smurfing,Multiple small transactions within short time,2
P100396,circular,Money returns to original account,1
P100397,velocity,High frequency transactions in short time,8
P100398,velocity,High frequency transactions in short time,5
P100399,velocity,High frequency transactions in short time,8
P100400,circular,Money returns to original account,4
P100401,velocity,High frequency transactions in short time,1
P100402,smurfing,Multiple small transactions within short time,6
P100403,velocity,High frequency transactions in short time,8
P100404,circular,Money returns to original account,9
P100405,velocity,High frequency transactions in short time,6
P100406,circular,Money returns to original account,10
P100407,circular,Money returns to original account,5
P100408,layering,Multiple sequential transfers across accounts,5
P100409,velocity,High frequency transactions in short time,1
P100410,velocity,High frequency transactions in short time,2
P100411,circular,Money returns to original account,2
P100412,layering,Multiple sequential transfers across accounts,3
P100413,layering,Multiple sequential transfers across accounts,4
P100414,velocity,High frequency transactions in short time,5
P100415,circular,Money returns to original account,10
P100416,smurfing,Multiple small transactions within short time,1
P100417,circular,Money returns to original account,1
P100418,smurfing,Multiple small transactions within short time,5
P100419,velocity,High frequency transactions in short time,2
P100420,layering,Multiple sequential transfers across accounts,10
P100421,velocity,High frequency transactions in short time,10
P100422,circular,Money returns to original account,4
P100423,circular,Money returns to original account,4
P100424,circular,Money returns to original account,8
P100425,layering,Multiple sequential transfers across accounts,9
P100426,velocity,High frequency transactions in short time,3
P100427,layering,Multiple sequential transfers across accounts,1
P100428,velocity,High frequency transactions in short time,8
P100429,smurfing,Multiple small transactions within short time,1
P100430,smurfing,Multiple small transactions within short time,5
P100431,layering,Multiple sequential transfers across accounts,7
P100432,circular,Money returns to original account,6
P100433,layering,Multiple sequential transfers across accounts,3
P100434,velocity,High frequency transactions in short time,2
P100435,smurfing,Multiple small transactions within short time,9
P100436,circular,Money returns to original account,3
P100437,velocity,High frequency transactions in short time,2
P100438,circular,Money returns to original account,5
P100439,layering,Multiple sequential transfers across accounts,6
P100440,smurfing,Multiple small transactions within short time,1
P100441,circular,Money returns to original account,8
P100442,velocity,High frequency transactions in short time,7
P100443,smurfing,Multiple small transactions within short time,10
P100444,circular,Money returns to original account,3
P100445,smurfing,Multiple small transactions within short time,1
P100446,smurfing,Multiple small transactions within short time,5
P100447,layering,Multiple sequential transfers across accounts,3
P100448,velocity,High frequency transactions in short time,10
P100449,circular,Money returns to original account,1
P100450,circular,Money returns to original account,9
P100451,smurfing,Multiple small transactions within short time,6
P100452,smurfing,Multiple small transactions within short time,7
P100453,smurfing,Multiple small transactions within short time,1
P100454,velocity,High frequency transactions in short time,8
P100455,velocity,High frequency transactions in short time,10
P100456,smurfing,Multiple small transactions within short time,3
P100457,layering,Multiple sequential transfers across accounts,9
P100458,velocity,High frequency transactions in short time,5
P100459,velocity,High frequency transactions in short time,1
P100460,velocity,High frequency transactions in short time,2
P100461,velocity,High frequency transactions in short time,9
P100462,smurfing,Multiple small transactions within short time,1
P100463,smurfing,Multiple small transactions within short time,8
P100464,velocity,High frequency transactions in short time,4
P100465,circular,Money returns to original account,5
P100466,smurfing,Multiple small transactions within short time,5
P100467,velocity,High frequency transactions in short time,4
P100468,circular,Money returns to original account,10
P100469,circular,Money returns to original account,4
P100470,smurfing,Multiple small transactions within short time,5
P100471,smurfing,Multiple small transactions within short time,1
P100472,circular,Money returns to original account,9
P100473,velocity,High frequency transactions in short time,5
P100474,velocity,High frequency transactions in short time,5
P100475,smurfing,Multiple small transactions within short time,10
P100476,velocity,High frequency transactions in short time,5
P100477,circular,Money returns to original account,9
P100478,smurfing,Multiple small transactions within short time,5
P100479,velocity,High frequency transactions in short time,8
P100480,layering,Multiple sequential transfers across accounts,8
P100481,velocity,High frequency transactions in short time,1
P100482,smurfing,Multiple small transactions within short time,3
P100483,smurfing,Multiple small transactions within short time,8
P100484,layering,Multiple sequential transfers across accounts,2
P100485,circular,Money returns to original account,4
P100486,smurfing,Multiple small transactions within short time,9
P100487,velocity,High frequency transactions in short time,8
P100488,circular,Money returns to original account,9
P100489,layering,Multiple sequential transfers across accounts,1
P100490,smurfing,Multiple small transactions within short time,7
P100491,smurfing,Multiple small transactions within short time,5
P100492,circular,Money returns to original account,7
P100493,layering,Multiple sequential transfers across accounts,3
P100494,velocity,High frequency transactions in short time,4
P100495,smurfing,Multiple small transactions within short time,4
P100496,circular,Money returns to original account,2
P100497,circular,Money returns to original account,7
P100498,layering,Multiple sequential transfers across accounts,9
P100499,smurfing,Multiple small transactions within short time,6
P100500,layering,Multiple sequential transfers across accounts,7
P100501,circular,Money returns to original account,3
P100502,circular,Money returns to original account,10
P100503,smurfing,Multiple small transactions within short time,9
P100504,velocity,High frequency transactions in short time,10
P100505,smurfing,Multiple small transactions within short time,5
P100506,layering,Multiple sequential transfers across accounts,3
P100507,smurfing,Multiple small transactions within short time,8
P100508,circular,Money returns to original account,7
P100509,smurfing,Multiple small transactions within short time,2
P100510,smurfing,Multiple small transactions within short time,3
P100511,circular,Money returns to original account,1
P100512,smurfing,Multiple small transactions within short time,9
P100513,layering,Multiple sequential transfers across accounts,6
P100514,circular,Money returns to original account,10
P100515,circular,Money returns to original account,8
P100516,smurfing,Multiple small transactions within short time,7
P100517,circular,Money returns to original account,5
P100518,layering,Multiple sequential transfers across accounts,6
P100519,velocity,High frequency transactions in short time,1
P100520,smurfing,Multiple small transactions within short time,2
P100521,circular,Money returns to original account,6
P100522,velocity,High frequency transactions in short time,9
P100523,velocity,High frequency transactions in short time,5
P100524,smurfing,Multiple small transactions within short time,7
P100525,layering,Multiple sequential transfers across accounts,7
P100526,layering,Multiple sequential transfers across accounts,5
P100527,layering,Multiple sequential transfers across accounts,4
P100528,smurfing,Multiple small transactions within short time,6
P100529,circular,Money returns to original account,6
P100530,layering,Multiple sequential transfers across accounts,2
P100531,smurfing,Multiple small transactions within short time,9
P100532,layering,Multiple sequential transfers across accounts,7
P100533,circular,Money returns to original account,3
P100534,layering,Multiple sequential transfers across accounts,1
P100535,layering,Multiple sequential transfers across accounts,1
P100536,layering,Multiple sequential transfers across accounts,8
P100537,layering,Multiple sequential transfers across accounts,9
P100538,velocity,High frequency transactions in short time,7
P100539,velocity,High frequency transactions in short time,10
P100540,circular,Money returns to original account,5
P100541,circular,Money returns to original account,1
P100542,smurfing,Multiple small transactions within short time,6
P100543,layering,Multiple sequential transfers across accounts,9
P100544,smurfing,Multiple small transactions within short time,4
P100545,smurfing,Multiple small transactions within short time,4
P100546,velocity,High frequency transactions in short time,2
P100547,smurfing,Multiple small transactions within short time,5
P100548,layering,Multiple sequential transfers across accounts,7
P100549,circular,Money returns to original account,9
P100550,smurfing,Multiple small transactions within short time,4
P100551,circular,Money returns to original account,3
P100552,velocity,High frequency transactions in short time,2
P100553,velocity,High frequency transactions in short time,7
P100554,smurfing,Multiple small transactions within short time,9
P100555,velocity,High frequency transactions in short time,9
P100556,layering,Multiple sequential transfers across accounts,1
P100557,smurfing,Multiple small transactions within short time,10
P100558,layering,Multiple sequential transfers across accounts,2
P100559,circular,Money returns to original account,10
P100560,smurfing,Multiple small transactions within short time,9
P100561,velocity,High frequency transactions in short time,1
P100562,velocity,High frequency transactions in short time,7
P100563,velocity,High frequency transactions in short time,2
P100564,smurfing,Multiple small transactions within short time,7
P100565,circular,Money returns to original account,5
P100566,layering,Multiple sequential transfers across accounts,4
P100567,layering,Multiple sequential transfers across accounts,3
P100568,velocity,High frequency transactions in short time,10
P100569,layering,Multiple sequential transfers across accounts,9
P100570,layering,Multiple sequential transfers across accounts,7
P100571,circular,Money returns to original account,9
P100572,layering,Multiple sequential transfers across accounts,3
P100573,circular,Money returns to original account,5
P100574,smurfing,Multiple small transactions within short time,10
P100575,circular,Money returns to original account,2
P100576,layering,Multiple sequential transfers across accounts,6
P100577,circular,Money returns to original account,5
P100578,smurfing,Multiple small transactions within short time,10
P100579,circular,Money returns to original account,5
P100580,velocity,High frequency transactions in short time,6
P100581,smurfing,Multiple small transactions within short time,6
P100582,layering,Multiple sequential transfers across accounts,7
P100583,velocity,High frequency transactions in short time,6
P100584,layering,Multiple sequential transfers across accounts,7
P100585,circular,Money returns to original account,2
P100586,velocity,High frequency transactions in short time,6
P100587,velocity,High frequency transactions in short time,1
P100588,circular,Money returns to original account,6
P100589,circular,Money returns to original account,4
P100590,velocity,High frequency transactions in short time,3
P100591,layering,Multiple sequential transfers across accounts,5
P100592,smurfing,Multiple small transactions within short time,4
P100593,circular,Money returns to original account,7
P100594,layering,Multiple sequential transfers across accounts,1
P100595,velocity,High frequency transactions in short time,10
P100596,smurfing,Multiple small transactions within short time,2
P100597,circular,Money returns to original account,2
P100598,circular,Money returns to original account,5
P100599,smurfing,Multiple small transactions within short time,10
P100600,circular,Money returns to original account,2
P100601,circular,Money returns to original account,1
P100602,layering,Multiple sequential transfers across accounts,10
P100603,circular,Money returns to original account,9
P100604,circular,Money returns to original account,7
P100605,circular,Money returns to original account,3
P100606,circular,Money returns to original account,3
P100607,layering,Multiple sequential transfers across accounts,4
P100608,circular,Money returns to original account,6
P100609,smurfing,Multiple small transactions within short time,4
P100610,velocity,High frequency transactions in short time,3
P100611,velocity,High frequency transactions in short time,3
P100612,smurfing,Multiple small transactions within short time,10
P100613,smurfing,Multiple small transactions within short time,8
P100614,layering,Multiple sequential transfers across accounts,5
P100615,smurfing,Multiple small transactions within short time,2
P100616,smurfing,Multiple small transactions within short time,10
P100617,layering,Multiple sequential transfers across accounts,8
P100618,smurfing,Multiple small transactions within short time,4
P100619,layering,Multiple sequential transfers across accounts,10
P100620,smurfing,Multiple small transactions within short time,10
P100621,circular,Money returns to original account,6
P100622,velocity,High frequency transactions in short time,3
P100623,velocity,High frequency transactions in short time,3
P100624,layering,Multiple sequential transfers across accounts,5
P100625,layering,Multiple sequential transfers across accounts,4
P100626,smurfing,Multiple small transactions within short time,5
P100627,smurfing,Multiple small transactions within short time,8
P100628,layering,Multiple sequential transfers across accounts,10
P100629,smurfing,Multiple small transactions within short time,7
P100630,smurfing,Multiple small transactions within short time,10
P100631,smurfing,Multiple small transactions within short time,5
P100632,circular,Money returns to original account,3
P100633,velocity,High frequency transactions in short time,1
P100634,layering,Multiple sequential transfers across accounts,2
P100635,circular,Money returns to original account,4
P100636,layering,Multiple sequential transfers across accounts,1
P100637,smurfing,Multiple small transactions within short time,4
P100638,layering,Multiple sequential transfers across accounts,4
P100639,layering,Multiple sequential transfers across accounts,3
P100640,velocity,High frequency transactions in short time,4
P100641,circular,Money returns to original account,10
P100642,velocity,High frequency transactions in short time,10
P100643,layering,Multiple sequential transfers across accounts,5
P100644,circular,Money returns to original account,6
P100645,velocity,High frequency transactions in short time,6
P100646,layering,Multiple sequential transfers across accounts,8
P100647,velocity,High frequency transactions in short time,10
P100648,circular,Money returns to original account,1
P100649,layering,Multiple sequential transfers across accounts,7
P100650,layering,Multiple sequential transfers across accounts,5
P100651,layering,Multiple sequential transfers across accounts,5
P100652,circular,Money returns to original account,1
P100653,layering,Multiple sequential transfers across accounts,8
P100654,smurfing,Multiple small transactions within short time,3
P100655,velocity,High frequency transactions in short time,3
P100656,layering,Multiple sequential transfers across accounts,3
