complaint_id,text,label
C100306,Unauthorized transaction from my account,fraud
C100307,Money deducted but not received,fraud
C100308,Suspicious activity detected,fraud
C100309,Suspicious activity detected,fraud
C100310,App is slow,normal
C100311,App is slow,normal
C100312,Suspicious activity detected,fraud
C100313,Suspicious activity detected,fraud
C100314,Unauthorized transaction from my account,fraud
C100315,Suspicious activity detected,fraud
C100316,Password reset not working,normal
C100317,App is slow,normal
C100318,App is slow,normal
C100319,Unauthorized transaction from my account,fraud
C100320,Unable to update profile,normal
C100321,Password reset not working,normal
C100322,Unauthorized transaction from my account,fraud
C100323,Password reset not working,normal
C100324,Unable to update profile,normal
C100325,Password reset not working,normal
C100326,Money deducted but not received,fraud
C100327,Login issue,normal
C100328,Unknown beneficiary added and funds transferred,fraud
C100329,Unknown beneficiary added and funds transferred,fraud
C100330,Need account statement,normal
C100331,Unable to update profile,normal
C100332,Password reset not working,normal
C100333,Unable to update profile,normal
C100334,Money deducted but not received,fraud
C100335,Unable to update profile,normal
C100336,Unable to update profile,normal
C100337,Unauthorized transaction from my account,fraud
C100338,Multiple OTP requests without action,fraud
C100339,Login issue,normal
C100340,Password reset not working,normal
C100341,Need account statement,normal
C100342,Login issue,normal
C100343,Login issue,normal
C100344,Unknown beneficiary added and funds transferred,fraud
C100345,Suspicious activity detected,fraud
C100346,Password reset not working,normal
C100347,Login issue,normal
C100348,Unauthorized transaction from my account,fraud
C100349,Password reset not working,normal
C100350,Login issue,normal
C100351,Login issue,normal
C100352,Multiple OTP requests without action,fraud
C100353,Need account statement,normal
C100354,App is slow,normal
C100355,Need account statement,normal
C100356,Password reset not working,normal
C100357,App is slow,normal
C100358,Money deducted but not received,fraud
C100359,Multiple OTP requests without action,fraud
C100360,Suspicious activity detected,fraud
C100361,Unauthorized transaction from my account,fraud
C100362,Password reset not working,normal
C100363,Need account statement,normal
C100364,App is slow,normal
C100365,Need account statement,normal
C100366,Unauthorized transaction from my account,fraud
C100367,Unauthorized transaction from my account,fraud
C100368,Unauthorized transaction from my account,fraud
C100369,Unauthorized transaction from my account,fraud
C100370,Password reset not working,normal
C100371,App is slow,normal
C100372,Unable to update profile,normal
C100373,Unknown beneficiary added and funds transferred,fraud
C100374,Login issue,normal
C100375,Unauthorized transaction from my account,fraud
C100376,Unable to update profile,normal
C100377,Password reset not working,normal
C100378,Unknown beneficiary added and funds transferred,fraud
C100379,Multiple OTP requests without action,fraud
C100380,Password reset not working,normal
C100381,Unable to update profile,normal
C100382,Login issue,normal
C100383,Need account statement,normal
C100384,Password reset not working,normal
C100385,Suspicious activity detected,fraud
C100386,Unable to update profile,normal
C100387,Unable to update profile,normal
C100388,App is slow,normal
C100389,Multiple OTP requests without action,fraud
C100390,Need account statement,normal
C100391,App is slow,normal
C100392,Password reset not working,normal
C100393,Need account statement,normal
C100394,Login issue,normal
C100395,Login issue,normal
C100396,App is slow,normal
C100397,Need account statement,normal
C100398,Need account statement,normal
C100399,Password reset not working,normal
C100400,Multiple OTP requests without action,fraud
C100401,Unknown beneficiary added and funds transferred,fraud
C100402,Need account statement,normal
C100403,Unauthorized transaction from my account,fraud
C100404,Multiple OTP requests without action,fraud
C100405,Password reset not working,normal
C100406,App is slow,normal
C100407,Multiple OTP requests without action,fraud
C100408,Need account statement,normal
C100409,Need account statement,normal
C100410,Need account statement,normal
C100411,Login issue,normal
C100412,App is slow,normal
C100413,Unable to update profile,normal
C100414,Login issue,normal
C100415,Login issue,normal
C100416,App is slow,normal
C100417,Need account statement,normal
C100418,App is slow,normal
C100419,Unable to update profile,normal
C100420,Unknown beneficiary added and funds transferred,fraud
C100421,Money deducted but not received,fraud
C100422,Suspicious activity detected,fraud
C100423,Unknown beneficiary added and funds transferred,fraud
C100424,Password reset not working,normal
C100425,Password reset not working,normal
C100426,Unable to update profile,normal
C100427,Money deducted but not received,fraud
C100428,Suspicious activity detected,fraud
C100429,Need account statement,normal
C100430,Unable to update profile,normal
C100431,Multiple OTP requests without action,fraud
C100432,Unable to update profile,normal
C100433,Unknown beneficiary added and funds transferred,fraud
C100434,Suspicious activity detected,fraud
C100435,Password reset not working,normal
C100436,Multiple OTP requests without action,fraud
C100437,Unknown beneficiary added and funds transferred,fraud
C100438,Login issue,normal
C100439,Suspicious activity detected,fraud
C100440,App is slow,normal
C100441,Need account statement,normal
C100442,Money deducted but not received,fraud
C100443,App is slow,normal
C100444,Need account statement,normal
C100445,Unauthorized transaction from my account,fraud
C100446,Money deducted but not received,fraud
C100447,Multiple OTP requests without action,fraud
C100448,Need account statement,normal
C100449,Multiple OTP requests without action,fraud
C100450,Unknown beneficiary added and funds transferred,fraud
C100451,Multiple OTP requests without action,fraud
C100452,Suspicious activity detected,fraud
C100453,Unable to update profile,normal
C100454,App is slow,normal
C100455,Unknown beneficiary added and funds transferred,fraud
C100456,Multiple OTP requests without action,fraud
C100457,Password reset not working,normal
C100458,Need account statement,normal
C100459,Unable to update profile,normal
C100460,Unable to update profile,normal
C100461,App is slow,normal
C100462,Unauthorized transaction from my account,fraud
C100463,Password reset not working,normal
C100464,Suspicious activity detected,fraud
C100465,Password reset not working,normal
C100466,App is slow,normal
C100467,Password reset not working,normal
C100468,Suspicious activity detected,fraud
C100469,Multiple OTP requests without action,fraud
C100470,Password reset not working,normal
C100471,Login issue,normal
C100472,Unable to update profile,normal
C100473,App is slow,normal
C100474,Password reset not working,normal
C100475,Need account statement,normal
C100476,App is slow,normal
C100477,Suspicious activity detected,fraud
C100478,Unable to update profile,normal
C100479,App is slow,normal
C100480,Unable to update profile,normal
C100481,App is slow,normal
C100482,Money deducted but not received,fraud
C100483,Login issue,normal
C100484,Unknown beneficiary added and funds transferred,fraud
C100485,Need account statement,normal
C100486,Unable to update profile,normal
C100487,Suspicious activity detected,fraud
C100488,App is slow,normal
C100489,Need account statement,normal
C100490,Unknown beneficiary added and funds transferred,fraud
C100491,Password reset not working,normal
C100492,Money deducted but not received,fraud
C100493,Unable to update profile,normal
C100494,Login issue,normal
C100495,Login issue,normal
C100496,Unable to update profile,normal
C100497,Login issue,normal
C100498,Password reset not working,normal
C100499,Need account statement,normal
C100500,Unknown beneficiary added and funds transferred,fraud
C100501,Login issue,normal
C100502,App is slow,normal
C100503,Login issue,normal
C100504,Unable to update profile,normal
C100505,Multiple OTP requests without action,fraud
C100506,Multiple OTP requests without action,fraud
C100507,Password reset not working,normal
C100508,Need account statement,normal
C100509,Money deducted but not received,fraud
C100510,Password reset not working,normal
C100511,Unauthorized transaction from my account,fraud
C100512,Unauthorized transaction from my account,fraud
C100513,Password reset not working,normal
C100514,App is slow,normal
C100515,Password reset not working,normal
C100516,Suspicious activity detected,fraud
C100517,Password reset not working,normal
C100518,Unauthorized transaction from my account,fraud
C100519,Unknown beneficiary added and funds transferred,fraud
C100520,Suspicious activity detected,fraud
C100521,Multiple OTP requests without action,fraud
C100522,Password reset not working,normal
C100523,Money deducted but not received,fraud
C100524,Money deducted but not received,fraud
C100525,Unauthorized transaction from my account,fraud
C100526,App is slow,normal
C100527,Unauthorized transaction from my account,fraud
C100528,Unable to update profile,normal
C100529,App is slow,normal
C100530,App is slow,normal
C100531,Unauthorized transaction from my account,fraud
C100532,Multiple OTP requests without action,fraud
C100533,App is slow,normal
C100534,Multiple OTP requests without action,fraud
C100535,Need account statement,normal
C100536,Money deducted but not received,fraud
C100537,Unable to update profile,normal
C100538,Unable to update profile,normal
C100539,Money deducted but not received,fraud
C100540,Unable to update profile,normal
C100541,Password reset not working,normal
C100542,Password reset not working,normal
C100543,Password reset not working,normal
C100544,Password reset not working,normal
C100545,Unable to update profile,normal
C100546,Need account statement,normal
C100547,Suspicious activity detected,fraud
C100548,Need account statement,normal
C100549,Password reset not working,normal
C100550,Multiple OTP requests without action,fraud
C100551,App is slow,normal
C100552,Password reset not working,normal
C100553,Need account statement,normal
C100554,Unauthorized transaction from my account,fraud
C100555,Unknown beneficiary added and funds transferred,fraud
C100556,Multiple OTP requests without action,fraud
C100557,Money deducted but not received,fraud
C100558,Login issue,normal
C100559,Money deducted but not received,fraud
C100560,App is slow,normal
C100561,Unauthorized transaction from my account,fraud
C100562,Unable to update profile,normal
C100563,Unable to update profile,normal
C100564,Login issue,normal
C100565,Password reset not working,normal
C100566,Login issue,normal
C100567,Suspicious activity detected,fraud
C100568,Money deducted but not received,fraud
C100569,Suspicious activity detected,fraud
C100570,Need account statement,normal
C100571,App is slow,normal
C100572,Password reset not working,normal
C100573,App is slow,normal
C100574,Suspicious activity detected,fraud
C100575,Multiple OTP requests without action,fraud
C100576,Unauthorized transaction from my account,fraud
C100577,Password reset not working,normal
C100578,Money deducted but not received,fraud
C100579,Money deducted but not received,fraud
C100580,Unauthorized transaction from my account,fraud
C100581,App is slow,normal
C100582,Multiple OTP requests without action,fraud
C100583,Password reset not working,normal
C100584,Suspicious activity detected,fraud
C100585,Multiple OTP requests without action,fraud
C100586,Login issue,normal
C100587,Multiple OTP requests without action,fraud
C100588,Unable to update profile,normal
C100589,Suspicious activity detected,fraud
C100590,Multiple OTP requests without action,fraud
C100591,Unable to update profile,normal
C100592,Unable to update profile,normal
C100593,Unauthorized transaction from my account,fraud
C100594,Need account statement,normal
C100595,Login issue,normal
C100596,Money deducted but not received,fraud
C100597,Login issue,normal
C100598,Money deducted but not received,fraud
C100599,Login issue,normal
C100600,Password reset not working,normal
C100601,Multiple OTP requests without action,fraud
C100602,App is slow,normal
C100603,App is slow,normal
C100604,Unknown beneficiary added and funds transferred,fraud
C100605,Need account statement,normal
C100606,Password reset not working,normal
C100607,Password reset not working,normal
C100608,App is slow,normal
C100609,Password reset not working,normal
C100610,Money deducted but not received,fraud
C100611,Password reset not working,normal
C100612,Unable to update profile,normal
C100613,Unable to update profile,normal
C100614,Password reset not working,normal
C100615,Multiple OTP requests without action,fraud
C100616,Unknown beneficiary added and funds transferred,fraud
C100617,App is slow,normal
C100618,Password reset not working,normal
C100619,Need account statement,normal
C100620,Money deducted but not received,fraud
C100621,Unable to update profile,normal
C100622,App is slow,normal
C100623,Need account statement,normal
C100624,Need account statement,normal
C100625,Need account statement,normal
C100626,Password reset not working,normal
C100627,Login issue,normal
C100628,Need account statement,normal
C100629,Password reset not working,normal
C100630,Need account statement,normal
C100631,Suspicious activity detected,fraud
C100632,Unauthorized transaction from my account,fraud
C100633,Need account statement,normal
C100634,Need account statement,normal
C100635,Unable to update profile,normal
C100636,Multiple OTP requests without action,fraud
C100637,Password reset not working,normal
C100638,Unable to update profile,normal
C100639,Unauthorized transaction from my account,fraud
C100640,Suspicious activity detected,fraud
C100641,Need account statement,normal
C100642,Unauthorized transaction from my account,fraud
C100643,Unable to update profile,normal
C100644,Multiple OTP requests without action,fraud
C100645,Login issue,normal
C100646,Unable to update profile,normal
C100647,Unable to update profile,normal
C100648,Unauthorized transaction from my account,fraud
C100649,Need account statement,normal
C100650,Unknown beneficiary added and funds transferred,fraud
C100651,Need account statement,normal
C100652,Multiple OTP requests without action,fraud
C100653,Suspicious activity detected,fraud
C100654,App is slow,normal
C100655,Login issue,normal
C100656,Password reset not working,normal
C100657,Need account statement,normal
C100658,Unable to update profile,normal
C100659,Unknown beneficiary added and funds transferred,fraud
C100660,Login issue,normal
C100661,App is slow,normal
C100662,Password reset not working,normal
C100663,Need account statement,normal
C100664,Need account statement,normal
C100665,Multiple OTP requests without action,fraud
C100666,Unauthorized transaction from my account,fraud
C100667,Unable to update profile,normal
C100668,Unauthorized transaction from my account,fraud
C100669,Multiple OTP requests without action,fraud
C100670,App is slow,normal
C100671,Money deducted but not received,fraud
C100672,App is slow,normal
C100673,Unauthorized transaction from my account,fraud
C100674,Need account statement,normal
C100675,Unknown beneficiary added and funds transferred,fraud
C100676,Multiple OTP requests without action,fraud
C100677,Login issue,normal
C100678,App is slow,normal
C100679,Unknown beneficiary added and funds transferred,fraud
C100680,Suspicious activity detected,fraud
C100681,Unable to update profile,normal
C100682,Suspicious activity detected,fraud
C100683,Unauthorized transaction from my account,fraud
C100684,Password reset not working,normal
C100685,Unknown beneficiary added and funds transferred,fraud
C100686,Login issue,normal
C100687,Multiple OTP requests without action,fraud
C100688,Login issue,normal
C100689,Need account statement,normal
C100690,Unauthorized transaction from my account,fraud
C100691,Need account statement,normal
C100692,App is slow,normal
C100693,Password reset not working,normal
C100694,Suspicious activity detected,fraud
C100695,Login issue,normal
C100696,Money deducted but not received,fraud
C100697,Money deducted but not received,fraud
C100698,Login issue,normal
C100699,Password reset not working,normal
C100700,Unable to update profile,normal
C100701,Password reset not working,normal
C100702,Unable to update profile,normal
C100703,Login issue,normal
C100704,App is slow,normal
C100705,App is slow,normal
C100706,Unable to update profile,normal
C100707,Need account statement,normal
C100708,Multiple OTP requests without action,fraud
C100709,Need account statement,normal
C100710,Multiple OTP requests without action,fraud
C100711,Password reset not working,normal
C100712,Need account statement,normal
C100713,Password reset not working,normal
C100714,Password reset not working,normal
C100715,Login issue,normal
C100716,Need account statement,normal
C100717,Login issue,normal
C100718,App is slow,normal
C100719,Unauthorized transaction from my account,fraud
C100720,Unknown beneficiary added and funds transferred,fraud
C100721,App is slow,normal
C100722,Login issue,normal
C100723,App is slow,normal
C100724,App is slow,normal
C100725,App is slow,normal
C100726,Unable to update profile,normal
C100727,Unable to update profile,normal
C100728,Password reset not working,normal
C100729,Password reset not working,normal
C100730,Password reset not working,normal
C100731,Unable to update profile,normal
C100732,Unauthorized transaction from my account,fraud
C100733,Login issue,normal
C100734,Need account statement,normal
C100735,Need account statement,normal
C100736,Money deducted but not received,fraud
C100737,Unauthorized transaction from my account,fraud
C100738,Unauthorized transaction from my account,fraud
C100739,Unknown beneficiary added and funds transferred,fraud
C100740,App is slow,normal
C100741,Need account statement,normal
C100742,Need account statement,normal
C100743,Money deducted but not received,fraud
C100744,Unauthorized transaction from my account,fraud
C100745,Suspicious activity detected,fraud
C100746,Login issue,normal
C100747,Unable to update profile,normal
C100748,App is slow,normal
C100749,Login issue,normal
C100750,Need account statement,normal
C100751,Unknown beneficiary added and funds transferred,fraud
C100752,Unable to update profile,normal
C100753,Unknown beneficiary added and funds transferred,fraud
C100754,Multiple OTP requests without action,fraud
C100755,Multiple OTP requests without action,fraud
C100756,Multiple OTP requests without action,fraud
C100757,Need account statement,normal
C100758,Unauthorized transaction from my account,fraud
C100759,Unable to update profile,normal
C100760,Password reset not working,normal
C100761,Multiple OTP requests without action,fraud
C100762,Unable to update profile,normal
C100763,Money deducted but not received,fraud
C100764,App is slow,normal
C100765,Suspicious activity detected,fraud
C100766,App is slow,normal
C100767,Password reset not working,normal
C100768,Password reset not working,normal
C100769,Suspicious activity detected,fraud
C100770,Unauthorized transaction from my account,fraud
C100771,Unknown beneficiary added and funds transferred,fraud
C100772,Password reset not working,normal
C100773,Unknown beneficiary added and funds transferred,fraud
C100774,Unable to update profile,normal
C100775,Unable to update profile,normal
C100776,Login issue,normal
C100777,Unknown beneficiary added and funds transferred,fraud
C100778,Need account statement,normal
C100779,Money deducted but not received,fraud
C100780,App is slow,normal
C100781,App is slow,normal
C100782,Unable to update profile,normal
C100783,App is slow,normal
C100784,Password reset not working,normal
C100785,Login issue,normal
C100786,Login issue,normal
C100787,Unknown beneficiary added and funds transferred,fraud
C100788,App is slow,normal
C100789,Password reset not working,normal
C100790,Unable to update profile,normal
C100791,Unknown beneficiary added and funds transferred,fraud
C100792,Unable to update profile,normal
C100793,Need account statement,normal
C100794,App is slow,normal
C100795,App is slow,normal
C100796,Need account statement,normal
C100797,Login issue,normal
C100798,Money deducted but not received,fraud
C100799,Login issue,normal
C100800,Unable to update profile,normal
C100801,Unknown beneficiary added and funds transferred,fraud
C100802,Unable to update profile,normal
C100803,Unable to update profile,normal
C100804,Suspicious activity detected,fraud
C100805,Unknown beneficiary added and funds transferred,fraud
C100806,Multiple OTP requests without action,fraud
C100807,Login issue,normal
C100808,Login issue,normal
C100809,App is slow,normal
C100810,Login issue,normal
C100811,App is slow,normal
C100812,App is slow,normal
C100813,Suspicious activity detected,fraud
C100814,Unable to update profile,normal
C100815,Money deducted but not received,fraud
C100816,Unknown beneficiary added and funds transferred,fraud
C100817,App is slow,normal
C100818,App is slow,normal
C100819,App is slow,normal
C100820,Login issue,normal
C100821,Money deducted but not received,fraud
C100822,Multiple OTP requests without action,fraud
C100823,Unable to update profile,normal
C100824,Password reset not working,normal
C100825,Login issue,normal
C100826,Need account statement,normal
C100827,App is slow,normal
C100828,Unknown beneficiary added and funds transferred,fraud
C100829,Multiple OTP requests without action,fraud
C100830,Money deducted but not received,fraud
C100831,Need account statement,normal
C100832,Unable to update profile,normal
C100833,Need account statement,normal
C100834,Money deducted but not received,fraud
C100835,Unable to update profile,normal
C100836,Unknown beneficiary added and funds transferred,fraud
C100837,Unauthorized transaction from my account,fraud
C100838,Login issue,normal
C100839,Unable to update profile,normal
C100840,Multiple OTP requests without action,fraud
C100841,Suspicious activity detected,fraud
C100842,App is slow,normal
C100843,Need account statement,normal
C100844,Login issue,normal
C100845,Password reset not working,normal
C100846,Unable to update profile,normal
C100847,App is slow,normal
C100848,App is slow,normal
C100849,Suspicious activity detected,fraud
C100850,Unable to update profile,normal
C100851,Need account statement,normal
C100852,Money deducted but not received,fraud
C100853,App is slow,normal
C100854,Multiple OTP requests without action,fraud
C100855,Password reset not working,normal
C100856,Unauthorized transaction from my account,fraud
C100857,App is slow,normal
C100858,Unknown beneficiary added and funds transferred,fraud
C100859,Unable to update profile,normal
C100860,Need account statement,normal
C100861,Password reset not working,normal
C100862,Multiple OTP requests without action,fraud
C100863,Multiple OTP requests without action,fraud
C100864,Unauthorized transaction from my account,fraud
C100865,Password reset not working,normal
C100866,App is slow,normal
C100867,Login issue,normal
C100868,Password reset not working,normal
C100869,Multiple OTP requests without action,fraud
C100870,Login issue,normal
C100871,Password reset not working,normal
C100872,Login issue,normal
C100873,Need account statement,normal
C100874,Suspicious activity detected,fraud
C100875,Unknown beneficiary added and funds transferred,fraud
C100876,Multiple OTP requests without action,fraud
C100877,Password reset not working,normal
C100878,Unknown beneficiary added and funds transferred,fraud
C100879,Need account statement,normal
C100880,Unable to update profile,normal
